Site	Longitude	Latitude 	Mean_surface_salinity	Minimum_surface_salinity	Maximum_surface_salinity	Mean_surface_temperature	Minimum_surface_temperature	Maximum_surface_temperature	Mean_bottom_chlorophyll_concentration 	Mean_bottom_current_velocity	Mean_bottom_dissolved_oxygen	Mean_bottom_temperature	Maximum_bottom_temperature	Minimum_bottom_temperature	Mean_bottom_salinity	Mean_surface_current_velocity
OGD	-123.3874833	48.40821667	29.6900	25.9000	30.9000	9.1100	7.5300	11.2700	0.1134	0.0076	99.4273	9.2247	10.1830	8.3816	31.7593	0.0049
SGI	-123.3799	48.75678333	29.7700	26.3800	30.9400	9.8800	6.5500	13.4400	1.2545	0.0194	299.0040	10.6528	16.2299	6.2948	31.7341	0.0159
LAS	-124.1826167	49.47478333	30.7300	29.2200	31.4800	10.9500	6.1000	16.4800	1.0760	0.0090	291.7426	11.2939	18.1386	5.8325	31.8810	0.0263
JER	-124.0011	49.75303333	30.5900	29.0900	31.4000	11.1700	5.5800	18.1500	0.4364	0.0017	87.4994	9.9531	11.0021	8.6556	31.8121	0.0080
TOF	-125.9384	49.2482	31.7700	31.3700	32.0500	9.7900	5.8300	13.1700	0.8478	0.0313	285.1031	10.8348	15.4022	6.8582	31.9744	0.0294
RBY	-125.4665833	50.33026667	31.4700	30.7800	31.9000	8.3200	4.5000	11.0500	1.2607	0.0150	291.2312	10.9047	16.8646	5.8567	31.6094	0.0651
CRA	-126.56462	50.5212	31.7500	31.3800	32.1000	8.4700	6.1400	11.2600	1.4965	0.0249	293.0812	9.9960	14.7118	4.8011	31.5079	0.0436
SHE	-126.2377	50.65893333	31.6600	31.2200	32.0300	9.1800	5.5900	14.0500	1.5194	0.0265	293.1503	10.1527	15.0849	4.9245	31.7765	0.0149
MAL	-127.1282167	50.62736667	31.7700	31.4900	32.1300	8.1200	5.1800	11.7800	1.4856	0.0182	293.3715	9.8307	14.4895	4.8176	31.8729	0.0361
QUA	-127.8717333	50.49976667	31.8200	31.6300	32.1800	8.5400	4.0300	12.2300	1.1210	0.0065	288.7829	10.2620	15.0480	6.3380	31.8766	0.0100
HOP	-127.85115	50.89923333	31.6500	31.4400	32.0700	8.7400	6.0800	11.2200	1.1518	0.0088	291.0349	9.9974	14.8464	6.0850	31.8412	0.0308
TBL	-127.8038333	51.27213333	31.4500	31.1700	31.9400	9.3500	6.3800	13.8900	0.4058	0.0164	257.2696	8.5081	11.0563	6.1618	33.4239	0.0441
CAL	-128.1425	51.69	31.3000	30.9400	31.8200	9.1400	6.1700	13.0500	1.1035	0.0222	296.3570	9.4805	13.4839	6.1214	32.0326	0.0365
TOL	-128.5782	52.71326667	31.1300	30.6800	31.6600	7.5500	3.5300	11.5700	0.9491	0.0171	291.3159	10.0287	15.6945	5.8873	33.6783	0.0360
PRI	-130.366	54.197	31.0300	30.5500	31.5300	8.1400	4.9400	12.5600	0.5603	0.0090	279.7375	8.0473	11.0560	5.1829	32.2569	0.0592
LEG	-130.464	54.682	30.8200	30.2500	31.4200	8.5000	5.2500	13.1100	0.0196	0.0032	97.2631	6.6060	6.9878	6.1160	31.6251	0.0522
JUA	-131.396	52.632	31.8300	31.5300	32.1000	9.3600	6.7900	14.1100	0.2951	0.0302	256.5084	8.0115	9.7075	6.0839	33.6738	0.0154
SEL	-131.9049333	52.93881667	31.9000	31.5900	32.1400	8.6400	3.4800	14.3400	0.9235	0.0343	289.6488	9.9639	16.7719	5.6616	32.5304	0.0383
REN	-132.66	53.399	31.9900	31.7100	32.2600	9.5900	5.9500	14.4100	0.7549	0.0297	289.4554	9.8918	16.5626	5.8836	32.2544	0.0157
MAZ	-132.55305	54.1	31.7000	31.4000	32.0800	8.7600	5.7500	13.2200	0.5413	0.0128	288.6368	7.9924	10.8252	5.4450	31.6315	0.0653
AK1	-133.0185444	54.83479167	31.5900	31.2500	31.9900	8.2600	5.2900	12.2300	1.0538	0.0282	297.0810	9.1298	15.2197	4.9007	31.8923	0.0354
AK2	-134.6327528	56.36410556	31.9600	31.5900	32.2100	7.3200	4.4900	11.1000	0.0363	0.0087	146.5640	6.5172	7.1004	5.9572	32.4851	0.0412
AK3	-134.7153333	57.82796389	31.9000	31.5200	32.1200	6.9700	3.4800	12.5700	1.4979	0.0269	309.9556	7.5732	13.9603	3.0602	31.8159	0.0387
AK4	-132.2171083	55.91448611	31.0300	30.5100	31.5900	8.9400	4.3300	15.8800	0.0211	0.0068	117.6413	6.4645	6.9968	5.8815	32.0469	0.0134
